	mapping_number	sssom_subject_id	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_object_source	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace	sssom_reviewer_id	sssom_reviewer_label	discipline	sssom_subject_label	sssom_object_label	term_local_name
0	1	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd2:UnitID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:UnitID	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	abcd			Biology			PhysicalSpecimenID
1	2	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd2:UnitGUID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitGUID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:UnitGUID	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	abcd			Biology			PhysicalSpecimenID
2	3	mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:SourceInstitutionID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/SourceInstitutionID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:SourceInstitutionID	https://tdwg.github.io    /mids/information-elements#Organization	abcd			Biology			Organization
3	4	mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:Unit-Owner-OrganisationGUID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-Owner-OrganisationGUID	https://tdwg.github.io    /mids/information-elements#Organization	abcd			Biology			Organization
4	5	mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:DataSet-Owner-OrganisationGUID	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-Owner-OrganisationGUID	https://tdwg.github.io    /mids/information-elements#Organization	abcd			Biology			Organization
5	6	mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-FullScientificNameString	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:TaxonIdentified-FullScientificNameString	https://tdwg.github.io    /mids/information-elements#Name	abcd			Biology			Name
6	7	mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-InformalNameString	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/InformalNameString	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:TaxonIdentified-InformalNameString	https://tdwg.github.io    /mids/information-elements#Name	abcd			Biology			Name
7	8	mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-NamedIndividual	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:TaxonIdentified-NamedIndividual	https://tdwg.github.io    /mids/information-elements#Name	abcd			Biology			Name
8	9	mids:ObjectType	mids:MIDS1	skos:exactMatch	abcd2:KindOfUnit	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/KindOfUnit	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:KindOfUnit	https://tdwg.github.io    /mids/information-elements#ObjectType	abcd			Biology			ObjectType
9	10	mids:License	mids:MIDS1	skos:narrowMatch	abcd2:Unit-License-Text	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-License-Text	https://tdwg.github.io    /mids/information-elements#License	abcd			Biology			License
