sssom_subject_id	sssom_subject_label	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_label	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_reviewer_id	sssom_reviewer_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:materialSampleID	Material Sample ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/materialSampleID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:catalogNumber	Catalog Number	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/catalogNumber	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:otherCatalogNumbers	Other Catalog Numbers	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/otherCatalogNumbers	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:occurrenceID	Occurrence ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/occurrenceID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:materialEntityID	Material Entity ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3090-1761	Wouter Addink			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/materialEntityID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:ownerInstitutionCode	Owner Institution Code	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	https://tdwg.github.io/mids/information-elements#Organization	dwc
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionID	Institution ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/institutionID	https://tdwg.github.io/mids/information-elements#Organization	dwc
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionCode	Institution Code	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/institutionCode	https://tdwg.github.io/mids/information-elements#Organization	dwc
mids:Name	Name	mids:MIDS1	skos:narrowMatch	dwc:scientificName	Scientific Name	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/scientificName	https://tdwg.github.io/mids/information-elements#Name	dwc
mids:Name	Name	mids:MIDS1	skos:narrowMatch	dwc:vernacularName	Vernacular Name	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/vernacularName	https://tdwg.github.io/mids/information-elements#Name	dwc
