sssom_subject_id	sssom_subject_label	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_label	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_reviewer_id	sssom_reviewer_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:Name	Name	mids:MIDS1	skos:narrowMatch	dwc:scientificName	Scientific Name	dwc:Occurrence	semapv:HumanCuration	hhttps://orcid.org/0000-0002-5819-9134	Ben Norton			hhttps://orcid.org/0000-0002-5819-9134	Ben Norton	rdf property	rdf property	2025-09-24		Although scientificName is not recommended for recording classifications of geological specimens, the lack of a more appropriate term requires that the term be included here. The Mineralogy Extension and DWC DP will fix this issue once ratified.	|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/scientificName	https://tdwg.github.io    /mids/information-elements#Name	dwc
mids:ObjectType	Object Type	mids:MIDS1	skos:narrowMatch	dwc:preparations	Preparations	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1261	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/preparations	https://tdwg.github.io    /mids/information-elements#ObjectType	dwc
mids:ObjectType	Object Type	mids:MIDS1	skos:narrowMatch	dwc:materialEntityType	Material Entity Type	dwc:Occurrence	semapv:HumanCuration	hhttps://orcid.org/0000-0002-5819-9134	Ben Norton			hhttps://orcid.org/0000-0002-5819-9134	Ben Norton	rdf property	rdf property				|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/materialEntityType	https://tdwg.github.io    /mids/information-elements#ObjectType	dwc
mids:License	License	mids:MIDS1	skos:exactMatch	dcterms:license	License	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1262	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	dcterms:license	https://tdwg.github.io    /mids/information-elements#License	dwc
mids:Modified	Modified	mids:MIDS1	skos:exactMatch	dcterms:modified	Modified	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1263	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	dcterms:modified	https://tdwg.github.io    /mids/information-elements#Modified	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:locality	Locality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1264	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/locality	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:county	County	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1265	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/county	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:municipality	Municipality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1266	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/municipality	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:verbatimLocality	Verbatim Locality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1267	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimLocality	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:island	Island	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1268	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/island	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:verbatimCoordinates	Verbatim Coordinates	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1269	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimCoordinates	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	owl:intersectionOf	dwc:verbatimLongitude	Verbatim Longitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1272	Mathias Dillen	rdf property	rdf property	2023-09	dwc:verbatimLongitude|dwc:verbatimLatitude	All properties in object_match_field need to be present	|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimLongitude	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	owl:intersectionOf	dwc:verbatimLatitude	Verbatim Latitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1273	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimLatitude	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:continent	Continent	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/continent	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:country	Country	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/country	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:countryCode	Country Code	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/countryCode	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:islandGroup	Island Group	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/islandGroup	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:stateProvince	State Province	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/stateProvince	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:waterBody	Water Body	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/waterBody	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
