term_local_name,rdf_type
hasPerson,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasPersonRole,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasResourceRelationship,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasRole,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasSchemeMeasurementOrFact,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasSchemeTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasStorageLocation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasTaxon,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasTemporalCoverage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
identifierSource,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
identifierType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
identifierValue,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isCurrentCollection,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isDerivedCollection,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isDistinctObjects,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isKnownToContainTypes,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isMandatoryMetric,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isMandatoryTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isRepeatableMetric,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isRepeatableTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isTopParent,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
island,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
islandGroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
kingdom,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestAgeOrHighestStage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestChronometricAge,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestChronometricAgeReferenceSystem,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestEonOrHighestEonothem,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestEpochOrHighestSeries,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestEraOrHighestErathem,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestPeriodOrHighestSystem,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
license,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
locality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
locationDescription,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
locationName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
locationType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
material,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementAccuracy,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementDerivation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementFactText,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementMethod,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementRemarks,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementUnit,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementValue,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
member,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
municipality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
objectClassificationLevel,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
objectClassificationName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
objectType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
organisationalUnitName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
organisationalUnitType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
period,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
postOfficeBoxNumber,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
postalCode,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
preparationType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
preservationMethod,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
preservationMode,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
referenceDetails,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
referenceName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
referenceType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
region,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
relatedResourceID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
relatedResourceName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
relatedResourceType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
relationshipAccordingTo,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
relationshipEstablishedDate,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
relationshipOfResource,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
relationshipRemarks,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
resourceID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
resourceIRI,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
rights,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
rightsHolder,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
roleName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
samplingProtocol,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
schemeMeasurementType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
schemeName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
scientificName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
stateProvince,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
status,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
statusChangeReason,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
statusType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
streetAddress,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
supergroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
taxonRank,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
temporalCoverageEndDateTime,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
temporalCoverageStartDateTime,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
temporalCoverageType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
termName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
typeOfObjectGroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
verbatimChronometricAge,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
verbatimEventDate,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
waterBody,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
waterBodyType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
